Year,Fertility_rate,Population,Life_expectancy
"1960",4.984026,3032160395,52.571658
"1961",5.011695,3073368588,53.077473
"1962",5.036590,3126509808,53.501598
"1963",5.058067,3191786431,54.035530
"1964",5.068204,3257459749,54.715222
"1965",5.049588,3324545317,55.384527
"1966",4.996646,3394783656,56.125425
"1967",4.974011,3464689184,56.839602
"1968",4.920123,3535355320,57.446057
"1969",4.849745,3610178790,58.060309
"1970",4.770691,3685753338,58.653348
"1971",4.661986,3763393041,59.179937
"1972",4.532956,3840269676,59.665337
"1973",4.405347,3916243700,60.112236
"1974",4.285026,3992871281,60.604700
"1975",4.155118,4067740570,61.046445
"1976",4.041123,4140647345,61.462626
"1977",3.940038,4213305198,61.879878
"1978",3.848582,4287155677,62.233461
"1979",3.780838,4362863940,62.587942
"1980",3.722379,4439337768,62.866587
"1981",3.666125,4517802653,63.199669
"1982",3.636681,4599181618,63.517233
"1983",3.603357,4681262097,63.757526
"1984",3.571920,4763043104,64.015856
"1985",3.542499,4846338373,64.266754
"1986",3.505334,4932113628,64.564149
"1987",3.460980,5020001100,64.815651
"1988",3.405634,5108813275,65.022093
"1989",3.332869,5197758288,65.240918
"1990",3.258953,5288103216,65.435154
"1991",3.168498,5375488625,65.623819
"1992",3.081429,5459753863,65.788619
"1993",2.993983,5544873088,65.915182
"1994",2.922803,5628791182,66.125228
"1995",2.856235,5713794373,66.323179
"1996",2.803404,5796632121,66.612792
"1997",2.756370,5879433899,66.911524
"1998",2.720739,5961166045,67.172478
"1999",2.688490,6041818590,67.405722
"2000",2.667891,6121682741,67.684998
"2001",2.639402,6201340848,67.983615
"2002",2.619580,6280531847,68.249917
"2003",2.603320,6359901308,68.524301
"2004",2.589342,6439827446,68.863337
"2005",2.570386,6520301437,69.136212
"2006",2.561276,6601480650,69.474975
"2007",2.552640,6683228246,69.794308
"2008",2.542093,6766302523,70.083463
"2009",2.523626,6849573246,70.405607
"2010",2.508023,6932880892,70.682937
"2011",2.491963,7014998805,70.971832
"2012",2.483746,7099548883,71.215332
"2013",2.468328,7185078354,71.460066
"2014",2.461479,7271228017,71.694029
"2015",2.451845,7357369754,71.856935
"2016",2.439026,7444027227,72.035264
